Rk,Player,2021-22,Signed Using,Guaranteed
1,Stephen Curry,45780966,Bird Rights,261134628
2,John Wall,44310840,Bird Rights,44310840
3,Russell Westbrook,44211146,Bird Rights,44211146
4,James Harden,43848000,Bird Rights,43848000
5,LeBron James,41180544,Bird,85655532
6,Kevin Durant,40918900,Sign and Trade,229997220
7,Giannis Antetokounmpo,39344970,Bird,176265466
8,Paul George,39344970,Bird,127477703
9,Damian Lillard,39344900,1st Round Pick,176265152
10,Kawhi Leonard,39344900,Early Bird,127477476
11,Klay Thompson,37980720,Bird Rights,121800240
12,Jimmy Butler,36016200,Sign and Trade,167652137
13,Tobias Harris,36000000,Bird Rights,115448276
14,Khris Middleton,35500000,Bird Rights,73448276
15,Anthony Davis,35361360,Bird,113942160
16,Rudy Gobert,35344828,Bird,158344829
17,Kyrie Irving,34916200,Cap space,34916200
18,Bradley Beal,34502130,Cap Space,34502130
19,Kristaps Porziņģis,31650600,Bird Rights,65484000
20,Devin Booker,31610000,1st round pick,101370000
21,Karl-Anthony Towns,31610000,1st Round Pick,101370000
22,Jamal Murray,31590000,1st Round pick,140400000
23,Ben Simmons,31590000,1st Round pick,140400000
24,Joel Embiid,31579390,1st Round Pick,206889460
25,Andrew Wiggins,31579390,1st Round Pick,65196160
26,Pascal Siakam,31320000,1st Round pick,100920000
27,Kevin Love,31300000,Bird Rights,60200000
28,CJ McCollum,30864198,1st Round Pick,100000000
29,Chris Paul,30800000,Bird,75000000
30,Nikola Jokić,30510423,Bird Rights,62989260
31,Jrue Holiday,30133333,Bird,97179999
32,D'Angelo Russell,30013500,Sign and Trade,61391250
33,Gordon Hayward,29900000,Sign and Trade,91500000
34,Blake Griffin,32405817,,29764126
35,Brandon Ingram,29467800,Bird,130968000
36,De'Aaron Fox,28103550,Bird,163000590
37,Bam Adebayo,28103550,Bird,163000590
38,Donovan Mitchell,28103550,Bird,125903904
39,Jayson Tatum,28103550,Bird,125903904
40,Al Horford,27000000,Cap Space,41500000
41,Kyle Lowry,26984128,Bird,85000002
42,Kemba Walker,8729020,,53669500
43,DeMar DeRozan,26000000,Sign and Trade,81900000
44,Jaylen Brown,24830357,1st Round pick,80008929
45,Draymond Green,24026712,Bird Rights,49833181
46,Nikola Vučević,24000000,Bird Rights,46000000
47,John Collins,23000000,Bird,125000000
48,Buddy Hield,22477273,1st Round pick,61568182
49,Malcolm Brogdon,21700000,Sign and Trade,89300000
50,Tim Hardaway Jr.,21306816,Bird,75000000
51,Mike Conley,21000000,Bird,58000000
52,Gary Harris,20482143,1st Round Pick,20482143
53,Danilo Gallinari,20475000,Sign and Trade,25475000
54,Harrison Barnes,20284091,Bird Rights,38636364
55,Jarrett Allen,20000000,Bird,100000000
56,Jerami Grant,20000000,Sign and Trade,40952381
57,Julius Randle,19800000,Cap Space,96782400
58,Fred VanVleet,19675926,Bird,40925926
59,Zach LaVine,19500000,Cap space,19500000
60,Goran Dragić,19440000,,19440000
61,Bojan Bogdanović,18700000,Cap Space,38250000
62,Lonzo Ball,18604651,Sign and Trade,58604652
63,Domantas Sabonis,18562500,1st Round pick,59812500
64,Eric Gordon,18218818,Cap Space,37787178
65,Evan Fournier,18139535,Sign and Trade,57139535
66,Eric Bledsoe,18125000,Bird Rights,22025000
67,Myles Turner,18000000,1st Round pick,36000000
68,Bogdan Bogdanović,18000000,Cap Space,36000000
69,Terry Rozier,17905263,Sign and Trade,114163957
70,Ricky Rubio,17809524,Cap Space,17809524
71,Caris LeVert,17500000,1st Round pick,36296296
72,Jonathan Isaac,17400000,Bird,69600000
73,Joe Harris,17357143,Bird,55928571
74,Spencer Dinwiddie,17142857,Sign and Trade,45142857
75,Clint Capela,17103448,Bird Rights,78191625
76,Steven Adams,17073171,1st Round Pick,35000000
77,Markelle Fultz,16500000,Bird,35000000
78,Aaron Gordon,16409091,Bird Rights,80207637
79,OG Anunoby,16071429,Bird,52071429
80,Dāvis Bertāns,16000000,Bird,60000000
81,Gary Trent Jr.,16000000,Bird,33280000
82,Lauri Markkanen,15690909,Sign and Trade,55426362
83,Marcus Morris,15627907,Non Bird,49116279
84,Duncan Robinson,15560000,Bird,79910000
85,Norman Powell,15517242,Bird,90000000
86,Dejounte Murray,15428571,1st Round pick,49714286
87,Will Barton,15384615,Bird,32000000
88,Derrick White,15178571,Bird,68000000
89,Taurean Prince,15057692,1st Round pick,15057692
90,Malik Beasley,14391964,Bird,29849999
91,Marcus Smart,14339285,Bird Rights,90827281
92,Patrick Beverley,14320988,Bird Rights,27320988
93,Thaddeus Young,14190000,Cap space,14190000
94,Jonas Valančiūnas,14000000,Bird Rights,44135000
95,Joe Ingles,14000000,Bird Rights,14000000
96,Doug McDermott,13750000,Sign and Trade,41250000
97,Christian Wood,13666667,Sign and Trade,27984126
98,Derrick Rose,13445120,Early Bird,27965850
99,Brook Lopez,13302325,Cap Space,27209301
100,Kentavious Caldwell-Pope,13038862,Early Bird,17926980
101,Kyle Kuzma,13000000,Bird,26000000
102,Robert Covington,12975471,Cap Space,12975471
103,Luke Kennard,12727273,Bird,41236364
104,T.J. Warren,12690000,1st Round Pick,12690000
105,Deandre Ayton,12632950,1st Round Pick,12632950
106,Terrence Ross,12500000,Bird Rights,24000000
107,Jordan Clarkson,12420000,Bird,25760000
108,Dillon Brooks,12200000,MLE,23600000
109,Kelly Olynyk,12195122,Cap Space,28000000
110,Kelly Oubre Jr.,12000000,Cap Space,17000000
111,Josh Hart,12000000,Bird,12000000
112,Jusuf Nurkić,12000000,Bird Rights,4000000
113,Josh Richardson,11600000,Minimum Salary,23984672
114,Marvin Bagley III,11312114,1st Round Pick,11312114
115,Devonte' Graham,11000000,Sign and Trade,37500000
116,Dwight Powell,11000000,Cap Space,22814815
117,Zion Williamson,10733400,1st Round Pick,10733400
118,Larry Nance Jr.,10690909,1st Round pick,20363636
119,Jeremy Lamb,10500000,Cap Space,10500000
120,Richaun Holmes,10384500,Early Bird,33645780
121,Reggie Jackson,10384500,Early Bird,21599760
122,Anthony Edwards,10245480,1st Round Pick,20978880
123,Luka Dončić,10174391,1st Round Pick,217234391
124,Cade Cunningham,10050120,1st Round Pick,20602920
125,Danny Green,10000000,Early Bird,10000000
126,Tomáš Satoranský,10000000,Sign and Trade,5000000
127,Kyle Anderson,9937150,MLE,9937150
128,Serge Ibaka,9742000,MLE,9742000
129,Jae Crowder,9720900,MLE,19904700
130,Derrick Favors,9720900,MLE,9720900
131,Tristan Thompson,9720900,,9720900
132,Montrezl Harrell,9720900,MLE,9720900
133,Derrick Jones Jr.,9720900,MLE,9720900
134,Ja Morant,9603360,1st Round Pick,21722800
135,Reggie Bullock,9536000,MLE,25000000
136,Alec Burks,9536000,Cap Space,19548800
137,Talen Horton-Tucker,9500000,Early Bird,19760000
138,Jaren Jackson Jr.,9180560,1st Round Pick,114180560
139,James Wiseman,9166800,1st Round Pick,18770160
140,Nicolas Batum,12213507,,18086956
141,Dario Šarić,9000000,Bird,18666667
